id,name
1,Fiction
2,Social Science
4,Philosophy
7,Performing Arts
21,Comics & Graphic Novels
26,Good And Evil
27,Games & Activities
31,Tarot
36,"Baggins, Frodo (Fictitious Character)"
37,Juvenile Nonfiction
39,"Fantasy Fiction, English"
201,Art
202,Middle Earth (Imaginary Place)
207,Literary Collections
252,"Body, Mind & Spirit"
254,Business & Economics
